list_name,name,english,filter
governorate_mcna,al.anbar,Al-Anbar,
governorate_mcna,babil,Babil,
governorate_mcna,baghdad,Baghdad,
governorate_mcna,al.basrah,Al-Basrah,
governorate_mcna,duhok,Duhok,
governorate_mcna,diyala,Diyala,
governorate_mcna,erbil,Erbil,
governorate_mcna,kerbala,Kerbala,
governorate_mcna,maysan,Maysan,
governorate_mcna,al.najaf,Al-Najaf,
governorate_mcna,ninewa,Ninewa,
governorate_mcna,al.qadissiya,Al-Qadissiya,
governorate_mcna,al.sulaymaniyah,Al-Sulaymaniyah,
governorate_mcna,thi.qar,Thi-Qar,
governorate_mcna,wassit,Wassit,
governorate_mcna,kirkuk,Kirkuk,
governorate_mcna,salah.al.din,Salah Al-Din,
district_mcna,al.falluja,Al-Falluja,al.anbar
district_mcna,al.falluja,Al-Falluja,al.anbar
district_mcna,al.kaim,Al-Kaim,al.anbar
district_mcna,al.ramadi,Al-Ramadi,al.anbar
district_mcna,al.rutba,Al-Rutba,al.anbar
district_mcna,ana,Ana,al.anbar
district_mcna,haditha,Haditha,al.anbar
district_mcna,heet,Heet,al.anbar
district_mcna,al.basrah,Al-Basrah,al.basrah
district_mcna,al.kufa,Al-Kufa,al.najaf
district_mcna,al.najaf,Al-Najaf,al.najaf
district_mcna,al.diwaniya,Al-Diwaniya,al.qadissiya
district_mcna,al.sulaymaniyah,Al-Sulaymaniyah,al.sulaymaniyah
district_mcna,chamchamal,Chamchamal,al.sulaymaniyah
district_mcna,derbendikhan,Derbendikhan,al.sulaymaniyah
district_mcna,dokan,Dokan,al.sulaymaniyah
district_mcna,halabcha,Halabcha,al.sulaymaniyah
district_mcna,kalar,Kalar,al.sulaymaniyah
district_mcna,rania,Rania,al.sulaymaniyah
district_mcna,al.mussyab,Al-Mussyab,babil
district_mcna,al.adhamiya,Al-Adhamiya,baghdad
district_mcna,al.kadhmiyah,Al-Kadhmiyah,baghdad
district_mcna,al.karkh,Al-Karkh,baghdad
district_mcna,al.mahmoudiya,Al-Mahmoudiya,baghdad
district_mcna,al.risafa,Al-Risafa,baghdad
district_mcna,al.khalis,Al-Khalis,diyala
district_mcna,al.muqdadiya,Al-Muqdadiya,diyala
district_mcna,baquba,Baquba,diyala
district_mcna,khanaqin,Khanaqin,diyala
district_mcna,kifri,Kifri,diyala
district_mcna,al.amadiya,Al-Amadiya,duhok
district_mcna,duhok,Duhok,duhok
district_mcna,sumail,Sumail,duhok
district_mcna,zakho,Zakho,duhok
district_mcna,erbil,Erbil,erbil
district_mcna,koysinjaq,Koysinjaq,erbil
district_mcna,makhmour,Makhmour,erbil
district_mcna,rawanduz,Rawanduz,erbil
district_mcna,shaqlawa,Shaqlawa,erbil
district_mcna,al.hindiya,Al-Hindiya,kerbala
district_mcna,kerbela,Kerbela,kerbala
district_mcna,al.hawiga,Al-Hawiga,kirkuk
district_mcna,daquq,Daquq,kirkuk
district_mcna,dibis,Dibis,kirkuk
district_mcna,kirkuk,Kirkuk,kirkuk
district_mcna,al.kahla,Al-Kahla,maysan
district_mcna,al.baaj,Al-Baaj,ninewa
district_mcna,al.hamdaniya,Al-Hamdaniya,ninewa
district_mcna,al.hatra,Al-Hatra,ninewa
district_mcna,al.mosul,Al-Mosul,ninewa
district_mcna,al.shikhan,Al-Shikhan,ninewa
district_mcna,aqra,Aqra,ninewa
district_mcna,sinjar,Sinjar,ninewa
district_mcna,telafar,Telafar,ninewa
district_mcna,tilkaef,Tilkaef,ninewa
district_mcna,al.daur,Al-Daur,salah.al.din
district_mcna,al.shirqat,Al-Shirqat,salah.al.din
district_mcna,balad,Balad,salah.al.din
district_mcna,beygee,Beygee,salah.al.din
district_mcna,samarra,Samarra,salah.al.din
district_mcna,tikrit,Tikrit,salah.al.din
district_mcna,tooz.khurmato,Tooz Khurmato,salah.al.din
district_mcna,al.nasiriya,Al-Nasiriya,thi.qar
district_mcna,al.kut,Al-Kut,wassit
